OBJECTID,Tree ID,Tree Type,Genus,Species,Cultivar or Varietal,Common Name,Canopy Spread,Height,Latitude,Longitude,Size Category,Canopy Area,Height_Spread_Ratio,Distance_From_Center,Genus_Species_Count,Annual_CO2_Sequestration,Age_Category,Height_Normalized,Canopy Spread_Normalized,Canopy Area_Normalized,Spring_Canopy,Summer_Canopy,Fall_Canopy,Winter_Canopy,Spatial_Cluster
36,14155,DECIDUOUS,Cercis,canadensis,,Redbud,6.0,6.0,40.00984074,-105.2755459,Small,28.274333882308138,1.0,0.00184722370291469,1,20,Young,-1.5207626180107043,-1.2208140315126608,-0.8082777773267811,19.792033717615695,28.274333882308138,16.964600329384883,2.827433388230814,4
37,12342,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,20.0,65.0,40.01030714,-105.2725214,Extra Large,314.1592653589793,3.25,0.0017046718857993538,1,100,Very Old,1.6002115380222763,0.06153581734739376,-0.16416071326609297,282.7433388230814,314.1592653589793,282.7433388230814,282.7433388230814,0
38,12415,CONIFEROUS,Juniperus,Unknown,,Juniper,16.0,44.0,40.00963388,-105.2725169,Large,201.06192982974676,2.75,0.0013694538950048383,1,70,Old,0.4893563299427408,-0.30484985375547896,-0.4189762550922993,180.95573684677208,201.06192982974676,180.95573684677208,180.95573684677208,2
39,12421,CONIFEROUS,Picea,pungens,,Blue Spruce,16.0,50.0,40.00973208,-105.2733052,Large,201.06192982974676,3.125,0.0007391435693442123,4,70,Very Old,0.8067435322511796,-0.30484985375547896,-0.4189762550922993,180.95573684677208,201.06192982974676,180.95573684677208,180.95573684677208,0
40,12424,CONIFEROUS,Pinus,ponderosa,,Ponderosa Pine,32.0,60.0,40.00986978,-105.2722732,Large,804.247719318987,1.875,0.0016820518938754935,9,70,Very Old,1.335722202765244,1.1606928306560118,0.9400399679808009,723.8229473870883,804.247719318987,723.8229473870883,723.8229473870883,2
41,12425,CONIFEROUS,Pinus,ponderosa,,Ponderosa Pine,25.0,50.0,40.00992271,-105.2722884,Large,490.8738521234052,2.0,0.0016901893775163393,9,70,Very Old,0.8067435322511796,0.5195179062259846,0.23398857083735436,441.7864669110647,490.8738521234052,441.7864669110647,441.7864669110647,2
42,12467,DECIDUOUS,Quercus,rubra,,Northern Red Oak,30.0,65.0,40.00891451,-105.2731733,Extra Large,706.8583470577034,2.1666666666666665,0.0007006178642359919,10,100,Very Old,1.6002115380222763,0.9774999951045755,0.7206154736304566,494.8008429403924,706.8583470577034,424.11500823462205,70.68583470577035,0
43,12472,DECIDUOUS,Acer,platanoides,,Norway Maple,40.0,28.0,40.00845442,-105.2729688,Medium,1256.6370614359173,0.7,0.0011252553753592267,11,48,Mature,-0.35700954287976244,1.8934641728617572,1.9593021352856264,879.645943005142,1256.6370614359173,753.9822368615504,125.66370614359174,1
44,12474,DECIDUOUS,Quercus,bicolor,,Weeping Swamp White Oak,25.0,30.0,40.00833308,-105.2735826,Medium,490.8738521234052,1.2,0.000894099198476816,10,48,Mature,-0.25121380877694954,0.5195179062259846,0.23398857083735436,343.6116964863836,490.8738521234052,294.5243112740431,49.08738521234052,1
45,12475,DECIDUOUS,Tilia,americana,,American Linden,20.0,30.0,40.00820831,-105.2731262,Medium,314.1592653589793,1.5,0.0012043922272533245,2,48,Mature,-0.25121380877694954,0.06153581734739376,-0.16416071326609297,219.9114857512855,314.1592653589793,188.4955592153876,31.415926535897935,1
46,12479,DECIDUOUS,Ulmus,americana,,American Elm,60.0,76.0,40.00796755,-105.2728904,Extra Large,2827.4333882308138,1.2666666666666666,0.0015377425355795943,1,100,Very Old,2.1820880755877474,3.7253925283761204,5.498406882871825,1979.2033717615695,2827.4333882308138,1696.4600329384882,282.7433388230814,1
47,12485,DECIDUOUS,Quercus,macrocarpa,,Bur Oak,15.0,20.0,40.00807546,-105.2730072,Small,176.71458676442586,1.3333333333333333,0.0013815911478661915,10,20,Mature,-0.7801924792910141,-0.3964462715311971,-0.4738323786798854,123.7002107350981,176.71458676442586,106.02875205865551,17.671458676442587,1
48,12493,DECIDUOUS,Quercus,robur,,English Oak,10.0,24.0,40.00787329,-105.2733476,Medium,78.53981633974483,2.4,0.001403256790030752,10,48,Mature,-0.5686010110853883,-0.854428360409788,-0.6950264254040228,54.97787143782138,78.53981633974483,47.1238898038469,7.853981633974484,1
49,12538,CONIFEROUS,Picea,pungens,,Blue Spruce,20.0,65.0,40.00847666,-105.2738914,Extra Large,314.1592653589793,3.25,0.0007239636080601016,4,100,Very Old,1.6002115380222763,0.06153581734739376,-0.16416071326609297,282.7433388230814,314.1592653589793,282.7433388230814,282.7433388230814,3
50,12545,CONIFEROUS,Picea,pungens,,Blue Spruce,24.0,60.0,40.00812933,-105.2730364,Large,452.3893421169302,2.5,0.00132083627111024,4,70,Very Old,1.335722202765244,0.42792148845026645,0.14728050452149247,407.1504079052372,452.3893421169302,407.1504079052372,407.1504079052372,1
51,12614,CONIFEROUS,Juniperus,Unknown,,Juniper,15.0,35.0,40.00828824,-105.2740574,Medium,176.71458676442586,2.3333333333333335,0.0009401835258453896,1,48,Old,0.013275526480082709,-0.3964462715311971,-0.4738323786798854,159.0431280879833,176.71458676442586,159.0431280879833,159.0431280879833,3
52,12390,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,20.0,45.0,40.010254,-105.2722569,Large,314.1592653589793,2.25,0.0018827592551739227,1,70,Old,0.5422541969941472,0.06153581734739376,-0.16416071326609297,219.9114857512855,314.1592653589793,188.4955592153876,31.415926535897935,2
53,12391,DECIDUOUS,Celtis,occidentalis,,Common Hackberry,40.0,60.0,40.01027594,-105.2722126,Large,1256.6370614359173,1.5,0.0019317462625807991,1,70,Very Old,1.335722202765244,1.8934641728617572,1.9593021352856264,879.645943005142,1256.6370614359173,753.9822368615504,125.66370614359174,2
54,12393,DECIDUOUS,Ulmus,americana,,American Elm,30.0,40.0,40.01031071,-105.272616,Medium,706.8583470577034,1.3333333333333333,0.0016364950238871288,1,48,Old,0.27776486173711495,0.9774999951045755,0.7206154736304566,494.8008429403924,706.8583470577034,424.11500823462205,70.68583470577035,0
55,12898,CONIFEROUS,Juniperus,Unknown,,Juniper,16.0,35.0,40.00909082,-105.2734609,Medium,201.06192982974676,2.1875,0.00036920523531026536,1,48,Old,0.013275526480082709,-0.30484985375547896,-0.4189762550922993,180.95573684677208,201.06192982974676,180.95573684677208,180.95573684677208,0
56,12901,CONIFEROUS,Juniperus,Unknown,,Juniper,10.0,30.0,40.00929782,-105.2734919,Medium,78.53981633974483,3.0,0.0003382616297887698,1,48,Mature,-0.25121380877694954,-0.854428360409788,-0.6950264254040228,70.68583470577035,78.53981633974483,70.68583470577035,70.68583470577035,0
57,12923,DECIDUOUS,Ulmus,americana,,American Elm,20.0,16.0,40.00994091,-105.2738825,Small,314.1592653589793,0.8,0.0007474531763296447,1,20,Mature,-0.9917839474966399,0.06153581734739376,-0.16416071326609297,219.9114857512855,314.1592653589793,188.4955592153876,31.415926535897935,0
58,12679,DECIDUOUS,Fagus,Unknown,,Beech,20.0,25.0,40.0081048,-105.2746434,Medium,314.1592653589793,1.25,0.0013706710586973757,1,48,Mature,-0.5157031440339819,0.06153581734739376,-0.16416071326609297,219.9114857512855,314.1592653589793,188.4955592153876,31.415926535897935,3
59,12681,DECIDUOUS,Koelreuteria,Unknown,,Golden Rain Tree,15.0,30.0,40.00818427,-105.2747024,Medium,176.71458676442586,2.0,0.001346405259039808,1,48,Mature,-0.25121380877694954,-0.3964462715311971,-0.4738323786798854,123.7002107350981,176.71458676442586,106.02875205865551,17.671458676442587,3
60,12752,DECIDUOUS,Acer,rubrum,,Red Maple,20.0,30.0,40.0092726,-105.2708834,Medium,314.1592653589793,1.5,0.00293223095471584,11,48,Mature,-0.25121380877694954,0.06153581734739376,-0.16416071326609297,219.9114857512855,314.1592653589793,188.4955592153876,31.415926535897935,2
61,12789,DECIDUOUS,Quercus,robur,,English Oak,30.0,35.0,40.00928718,-105.2713947,Medium,706.8583470577034,1.1666666666666667,0.0024216411642130507,10,48,Old,0.013275526480082709,0.9774999951045755,0.7206154736304566,494.8008429403924,706.8583470577034,424.11500823462205,70.68583470577035,2
62,12805,DECIDUOUS,Catalpa,speciosa,,Western Catalpa,35.0,61.0,40.00923169,-105.2739572,Extra Large,962.1127501618741,1.7428571428571429,0.00014682436161076216,2,100,Very Old,1.3886200698166504,1.4354820839831663,1.2957199951132141,673.4789251133119,962.1127501618741,577.2676500971245,96.21127501618741,0
63,12824,CONIFEROUS,Pinus,ponderosa,,Ponderosa Pine,25.0,54.0,40.00829875,-105.2713461,Large,490.8738521234052,2.16,0.0026267364104473776,9,70,Very Old,1.0183350004568053,0.5195179062259846,0.23398857083735436,441.7864669110647,490.8738521234052,441.7864669110647,441.7864669110647,2
64,12942,DECIDUOUS,Prunus,Unknown,,Flowering fruit trees,8.0,20.0,40.01004792,-105.2748237,Small,50.26548245743669,2.5,0.0013202407290818059,1,20,Mature,-0.7801924792910141,-1.0376211959612243,-0.7587303108605744,35.18583772020568,50.26548245743669,30.159289474462014,5.026548245743669,4
65,12942,DECIDUOUS,Prunus,Unknown,,Flowering fruit trees,8.0,20.0,40.01005207,-105.2748282,Small,50.26548245743669,2.5,0.0013263562804553682,1,20,Mature,-0.7801924792910141,-1.0376211959612243,-0.7587303108605744,35.18583772020568,50.26548245743669,30.159289474462014,5.026548245743669,4
66,12953,DECIDUOUS,Rhamnus,Unknown,,Buckthorn,8.0,12.0,40.00989656,-105.2748945,Small,50.26548245743669,1.5,0.0012868999857309621,2,20,Young,-1.2033754157022658,-1.0376211959612243,-0.7587303108605744,35.18583772020568,50.26548245743669,30.159289474462014,5.026548245743669,4
67,12962,CONIFEROUS,Picea,pungens,,Blue Spruce,16.0,40.0,40.00709296,-105.2728093,Medium,201.06192982974676,2.5,0.0023314758902758348,4,48,Old,0.27776486173711495,-0.30484985375547896,-0.4189762550922993,180.95573684677208,201.06192982974676,180.95573684677208,180.95573684677208,1
68,12966,CONIFEROUS,Abies,concolor,,White Fir,6.0,10.0,40.00968067,-105.2739713,Small,28.274333882308138,1.6666666666666667,0.0005088415206521475,1,20,Young,-1.3091711498050786,-1.2208140315126608,-0.8082777773267811,25.446900494077326,28.274333882308138,25.446900494077326,25.446900494077326,0
69,12969,CONIFEROUS,Juniperus,Unknown,,Juniper,10.0,25.0,40.00960249,-105.2740947,Medium,78.53981633974483,2.5,0.0004931773591255257,1,48,Mature,-0.5157031440339819,-0.854428360409788,-0.6950264254040228,70.68583470577035,78.53981633974483,70.68583470577035,70.68583470577035,0
70,12972,CONIFEROUS,Juniperus,Unknown,,Juniper,10.0,30.0,40.00992066,-105.273691,Medium,78.53981633974483,3.0,0.0007345971790367246,1,48,Mature,-0.25121380877694954,-0.854428360409788,-0.6950264254040228,70.68583470577035,78.53981633974483,70.68583470577035,70.68583470577035,0
71,13216,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,12.0,30.0,40.00847436,-105.2752997,Medium,113.09733552923255,2.5,0.0016513445332062755,1,48,Mature,-0.25121380877694954,-0.6712355248583516,-0.6171661209571264,101.7876019763093,113.09733552923255,101.7876019763093,101.7876019763093,3
72,13229,CONIFEROUS,Picea,pungens,,Blue Spruce,8.0,35.0,40.00990088,-105.2762624,Medium,50.26548245743669,4.375,0.0025470763115138318,4,48,Old,0.013275526480082709,-1.0376211959612243,-0.7587303108605744,45.23893421169302,50.26548245743669,45.23893421169302,45.23893421169302,4
73,12976,CONIFEROUS,Juniperus,Unknown,,Juniper,16.0,25.0,40.00952921,-105.2733925,Medium,201.06192982974676,1.5625,0.0005374691310218518,1,48,Mature,-0.5157031440339819,-0.30484985375547896,-0.4189762550922993,180.95573684677208,201.06192982974676,180.95573684677208,180.95573684677208,0
74,12993,DECIDUOUS,Rhamnus,cathartica,,Buckthorn,8.0,12.0,40.00740665,-105.2726831,Small,50.26548245743669,1.5,0.0021175718535318415,2,20,Young,-1.2033754157022658,-1.0376211959612243,-0.7587303108605744,35.18583772020568,50.26548245743669,30.159289474462014,5.026548245743669,1
75,13004,DECIDUOUS,Cercis,canadensis,,Redbud,12.0,24.0,40.00747921,-105.2726409,Medium,113.09733552923255,2.0,0.002080122445552923,1,48,Mature,-0.5686010110853883,-0.6712355248583516,-0.6171661209571264,79.16813487046278,113.09733552923255,67.85840131753953,11.309733552923255,1
76,13008,DECIDUOUS,Rhamnus,Unknown,,Buckthorn,8.0,12.0,40.00714774,-105.2729186,Small,50.26548245743669,1.5,0.002236177609013099,2,20,Young,-1.2033754157022658,-1.0376211959612243,-0.7587303108605744,35.18583772020568,50.26548245743669,30.159289474462014,5.026548245743669,1
77,13011,DECIDUOUS,Rhamnus,Unknown,,Buckthorn,8.0,12.0,40.00708506,-105.2729232,Small,50.26548245743669,1.5,0.0022919499574668273,2,20,Young,-1.2033754157022658,-1.0376211959612243,-0.7587303108605744,35.18583772020568,50.26548245743669,30.159289474462014,5.026548245743669,1
78,13019,DECIDUOUS,Acer,saccharinum,,Silver Maple,30.0,40.0,40.00948727,-105.2740096,Medium,706.8583470577034,1.3333333333333333,0.0003500424723751491,11,48,Old,0.27776486173711495,0.9774999951045755,0.7206154736304566,494.8008429403924,706.8583470577034,424.11500823462205,70.68583470577035,0
79,13433,DECIDUOUS,Acer,platanoides,,Norway Maple,30.0,45.0,40.008496,-105.2745297,Large,706.8583470577034,1.5,0.0010010321396151866,11,70,Old,0.5422541969941472,0.9774999951045755,0.7206154736304566,494.8008429403924,706.8583470577034,424.11500823462205,70.68583470577035,3
80,13438,DECIDUOUS,Robinia,Unknown,,Locust,25.0,50.0,40.00853913,-105.2748299,Large,490.8738521234052,2.0,0.0012095189550359658,1,70,Very Old,0.8067435322511796,0.5195179062259846,0.23398857083735436,343.6116964863836,490.8738521234052,294.5243112740431,49.08738521234052,3
81,13441,DECIDUOUS,Castanea,Unknown,,American Chestnut,15.0,30.0,40.00872321,-105.2748855,Medium,176.71458676442586,2.0,0.001170801465622477,2,48,Mature,-0.25121380877694954,-0.3964462715311971,-0.4738323786798854,123.7002107350981,176.71458676442586,106.02875205865551,17.671458676442587,3
82,13449,DECIDUOUS,Quercus,rubra,,Northern Red Oak,20.0,50.0,40.00886687,-105.2747493,Large,314.1592653589793,2.5,0.0009910931010941257,10,70,Very Old,0.8067435322511796,0.06153581734739376,-0.16416071326609297,219.9114857512855,314.1592653589793,188.4955592153876,31.415926535897935,3
83,13453,DECIDUOUS,Fraxinus,pennsylvanica,,Green Ash,30.0,40.0,40.00885565,-105.2747881,Medium,706.8583470577034,1.3333333333333333,0.0010314184434315208,3,48,Old,0.27776486173711495,0.9774999951045755,0.7206154736304566,494.8008429403924,706.8583470577034,424.11500823462205,70.68583470577035,3
84,13454,DECIDUOUS,Populus,tremuloides,,Aspen,10.0,4.0,40.00885314,-105.2745104,Small,78.53981633974483,0.4,0.0007758876466690581,3,20,Young,-1.6265583521135174,-0.854428360409788,-0.6950264254040228,54.97787143782138,78.53981633974483,47.1238898038469,7.853981633974484,3
85,13458,CONIFEROUS,Picea,pungens,,Blue Spruce,30.0,45.0,40.00843395,-105.2744883,Large,706.8583470577034,1.5,0.0010175265696684204,4,70,Old,0.5422541969941472,0.9774999951045755,0.7206154736304566,636.1725123519332,706.8583470577034,636.1725123519332,636.1725123519332,3
86,13466,CONIFEROUS,Pseudotsuga,menziesii,,Douglas Fir,20.0,50.0,40.00875337,-105.2744927,Large,314.1592653589793,2.5,0.0008100382201615242,1,70,Very Old,0.8067435322511796,0.06153581734739376,-0.16416071326609297,282.7433388230814,314.1592653589793,282.7433388230814,282.7433388230814,3
87,13469,CONIFEROUS,Picea,pungens,,Blue Spruce,20.0,60.0,40.00882264,-105.2744251,Large,314.1592653589793,3.0,0.000715862887012367,4,70,Very Old,1.335722202765244,0.06153581734739376,-0.16416071326609297,282.7433388230814,314.1592653589793,282.7433388230814,282.7433388230814,3
